vfmaddsub213ps, FUNCTION, (vfmaddsub213psInstr), SSE/AVX Instruction, SSE
vfmaddsub231pd, FUNCTION, (vfmaddsub231pdInstr), SSE/AVX Instruction, SSE
vfmaddsub231ps, FUNCTION, (vfmaddsub231psInstr), SSE/AVX Instruction, SSE
vfmaddsubpd, FUNCTION, (vfmaddsubpdInstr), SSE/AVX Instruction, SSE
vfmaddsubps, FUNCTION, (vfmaddsubpsInstr), SSE/AVX Instruction, SSE
vfmsub132pd, FUNCTION, (vfmsub132pdInstr), SSE/AVX Instruction, SSE
vfmsub132ps, FUNCTION, (vfmsub132psInstr), SSE/AVX Instruction, SSE
vfmsub132sd, FUNCTION, (vfmsub132sdInstr), SSE/AVX Instruction, SSE
vfmsub132ss, FUNCTION, (vfmsub132ssInstr), SSE/AVX Instruction, SSE
vfmsub213pd, FUNCTION, (vfmsub213pdInstr), SSE/AVX Instruction, SSE
vfmsub213ps, FUNCTION, (vfmsub213psInstr), SSE/AVX Instruction, SSE
vfmsub213sd, FUNCTION, (vfmsub213sdInstr), SSE/AVX Instruction, SSE
vfmsub213ss, FUNCTION, (vfmsub213ssInstr), SSE/AVX Instruction, SSE
vfmsub231pd, FUNCTION, (vfmsub231pdInstr), SSE/AVX Instruction, SSE
vfmsub231ps, FUNCTION, (vfmsub231psInstr), SSE/AVX Instruction, SSE
vfmsub231sd, FUNCTION, (vfmsub231sdInstr), SSE/AVX Instruction, SSE
vfmsub231ss, FUNCTION, (vfmsub231ssInstr), SSE/AVX Instruction, SSE
vfmsubadd132pd, FUNCTION, (vfmsubadd132pdInstr), SSE/AVX Instruction, SSE
vfmsubadd132ps, FUNCTION, (vfmsubadd132psInstr), SSE/AVX Instruction, SSE
vfmsubadd213pd, FUNCTION, (vfmsubadd213pdInstr), SSE/AVX Instruction, SSE
vfmsubadd213ps, FUNCTION, (vfmsubadd213psInstr), SSE/AVX Instruction, SSE
vfmsubadd231pd, FUNCTION, (vfmsubadd231pdInstr), SSE/AVX Instruction, SSE
vfmsubadd231ps, FUNCTION, (vfmsubadd231psInstr), SSE/AVX Instruction, SSE
